NAME,A,PER,ECC,MASS,R,MSTAR,RSTAR,VSINI
#,au,day,,mjupiter,rjupiter,msun,rsun,km/s
Kepler-167b,0.0524957,4.393147,,0.010538,0.12936,,0.696,
Kepler-337b,0.043316,3.292781,,0.0115417,0.13739,,1.761,
Kepler-226d,0.0789926,8.109044,,0.00587447,0.108841,,0.802,
Kepler-363c,0.0752686,7.542427,,0.0125062,0.150772,,1.485,
Kepler-24d,0.0513038,4.244384,,0.0123736,0.148987,,1.289,
Kepler-402c,0.0655142,6.124821,,0.0116666,0.139174,,1.264,
WASP-18b,0.0201401,0.9414529,0.00848,10.2006,1.267,1.22,1.216,11
CoRoT-6b,0.0854177,8.886593,0,2.95364,1.166,1.05,1.025,7.5
Kepler-203c,0.0600193,5.370647,,0.019315,0.220359,,1.114,
Kepler-202b,0.0498841,4.069427,,0.0121124,0.145419,,0.667,
KELT-2Ab,0.0549707,4.1137912,0,1.52064,1.286,1.308,1.828,9
Kepler-10b,0.0167573,0.837495,0,0.0142824,0.126327,0.895,1.056,0.5
Kepler-405b,0.0945195,10.613839,,0.015437,0.185565,,0.893,
Kepler-208b,0.0511769,4.22864,,0.0121124,0.145419,,1.314,
M67YBP1194b,0.0715732,6.958,0.24,0.346328,,1.01,1.01765,
HD40307c,0.0800702,9.62,0,0.0211468,,0.74,0.839223,
Kepler-257b,0.0349126,2.382667,,0.0210192,0.232849,,1.037,
WASP-10b,0.0384536,3.0927616,0.0507142,3.19144,1.08,0.79,0.698,3
WASP-17b,0.0499354,3.735433,0,0.508547,1.932,1.19,1.2,9
HAT-P-17b,0.0882385,10.338523,0.346,0.530158,1.01,0.857,0.837,0.3
Kepler-162b,0.0710671,6.919798,,0.00656354,0.11241,,0.958,
Kepler-424b,0.0436419,3.3118644,0.002,0.770225,0.89,1.01,0.94,0.5
WASP-75b,0.0375112,2.484193,0,1.07,1.27,1.14,1.26,4.3
Kepler-222b,0.0487958,3.936981,,0.0297967,0.281916,,0.869,
Kepler-334b,0.0607596,5.470319,,0.00436179,0.0999197,,1.068,
GJ581e,0.028459,3.14945,0.32,0.00613456,,0.31,0.299,
Kepler-327c,0.0588339,5.212333,,0.00324127,0.0918904,,0.492,
GJ674b,0.0386657,4.6938,0.2,0.034879,,0.35,,
Kepler-57c,0.0942979,11.6092567,,0.0115953,0.138158,0.83,0.73,
Kepler-172c,0.0673847,6.388996,,0.0245625,0.255152,,1.085,
WASP-70Ab,0.0485382,3.7130203,0,0.590076,1.164,1.106,1.215,1.8
WASP-57b,0.0386362,2.838971,0,0.675887,0.916,0.954,0.836,3.7
HAT-P-37b,0.0379273,2.79736,0.058,1.17362,1.178,0.929,0.877,3.07
Kepler-249b,0.0434366,3.306539,,0.00396389,0.0972433,,0.482,
Kepler-165b,0.0794582,8.180848,,0.0176845,0.206977,,0.77,
Kepler-28b,0.0581375,5.91213,0,0.0397121,0.320884,0.75,0.7,
HAT-P-32b,0.0342627,2.150008,0,0.861516,1.789,1.16,1.219,20.7
XO-3b,0.0477112,3.1915426,0.2884,13.2849,1.217,1.41,2.07898,18.31
Kepler-400b,0.0848304,9.024389,,0.0122424,0.147203,,1.145,
Kepler-113b,0.0502736,4.754,0,0.013404,0.16237,0.75,0.69,0.4
Kepler-335b,0.0685981,6.562331,,0.0346488,0.302436,,1.854,
WASP-16b,0.0417858,3.1186009,0,0.842294,1.008,1,0.946,3
